,연도,번호,도서명,저자명,출판사명,data
0,2013,1,한국현대철학사론: 세계상실과 자유의 이념,이규성,이화여자대학교출판부,"[<a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;acConNo=KAC201404841&amp;infoTxt=%EC%A0%80%EC%9E%90%7C%EC%9D%B4%EA%B7%9C%EC%84%B1"">이규성</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?pageNum=1&amp;pageSize=10&amp;srchTarget=publisher&amp;kwd=이화여자대학교출판부 "">이화여자대학교출판부, </a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=kdc&amp;guCode2=151.7&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C151.7"">한국십진분류법-&gt; 151.7</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=ddc&amp;guCode2=181.11&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C181.11"">듀이십진분류법-&gt; 181.11</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;subject=%ED%95%9C%EA%B5%AD+%EC%B2%A0%ED%95%99%5B%E9%9F%93%E5%9C%8B%E5%93%B2%E5%AD%B8%5D+"">한국 철학[韓國哲學] </a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;subject=%EC%B2%A0%ED%95%99%EC%82%AC%5B%E5%93%B2%E5%AD%B8%E5%8F%B2%5D+"">   철학사[哲學史] </a>]"
1,2013,2,우암 송시열,곽신환,도서출판 서광사,"[<a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;acConNo=KAC201405945&amp;infoTxt=%EC%A0%80%EC%9E%90%7C%EA%B3%BD%EC%8B%A0%ED%99%98"">곽신환</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?pageNum=1&amp;pageSize=10&amp;srchTarget=publisher&amp;kwd=서광사 "">서광사, </a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=kdc&amp;guCode2=151.54&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C151.54"">한국십진분류법-&gt; 151.54</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=ddc&amp;guCode2=181.119&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C181.119"">듀이십진분류법-&gt; 181.119</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;subject=%ED%95%9C%EA%B5%AD+%EC%B2%A0%ED%95%99%5B%E9%9F%93%E5%9C%8B%E5%93%B2%E5%AD%B8%5D+"">한국 철학[韓國哲學] </a>]"
2,2013,3,"예기집설대전 (곡례 상 1ㆍ2, 하)",陳澔(元),학고방,검색결과없음
3,2013,4,주자학 신연구,이동희,도서출판 문사철,"[<a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;acConNo=KAC201203020&amp;infoTxt=%EC%A0%80%EC%9E%90%7C%EC%9D%B4%EB%8F%99%ED%9D%AC"">이동희</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?pageNum=1&amp;pageSize=10&amp;srchTarget=publisher&amp;kwd=문사철 "">문사철, </a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=kdc&amp;guCode2=151.52&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C151.52"">한국십진분류법-&gt; 151.52</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=ddc&amp;guCode2=181.112&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C181.112"">듀이십진분류법-&gt; 181.112</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;subject=%EC%84%B1%EB%A6%AC%ED%95%99%5B%E6%80%A7%E7%90%86%E5%AD%B8%5D+"">성리학[性理學] </a>]"
4,2013,5,심체와 성체 (1~7),모종삼,소명출판,검색결과없음
5,2013,6,"한국유학사 (상, 하)",윤사순,(주)지식산업사,검색결과없음
6,2013,7,"박세당의 장자, 남화경주해산보 내편",박세당,예문서원,"[<a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;acConNo=KAC200304156&amp;infoTxt=%EC%A0%80%EC%9E%90%7C%EB%B0%95%EC%84%B8%EB%8B%B9"">박세당</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;acConNo=KAC201302961&amp;infoTxt=%EC%A0%80%EC%9E%90%7C%EC%A0%84%ED%98%84%EB%AF%B8"">전현미</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?pageNum=1&amp;pageSize=10&amp;srchTarget=publisher&amp;kwd=예문서원 "">예문서원, </a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=kdc&amp;guCode2=152.226&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C152.226"">한국십진분류법-&gt; 152.226</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=ddc&amp;guCode2=181.114&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C181.114"">듀이십진분류법-&gt; 181.114</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;subject=%EC%A4%91%EA%B5%AD+%EC%B2%A0%ED%95%99%5B%E4%B8%AD%E5%9C%8B%E5%93%B2%E5%AD%B8%5D+"">중국 철학[中國哲學] </a>]"
7,2013,8,"묵경 (1, 2)",묵자,(주)도서출판 한길사,검색결과없음
8,2013,9,바가바드 기따,문을식,서강대학교출판부,"[<a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;acConNo=KAC201309330&amp;infoTxt=%EC%A0%80%EC%9E%90%7C%EB%AC%B8%EC%9D%84%EC%8B%9D"">문을식</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?pageNum=1&amp;pageSize=10&amp;srchTarget=publisher&amp;kwd=서강대학교 출판부 "">서강대학교 출판부, </a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=kdc&amp;guCode2=155.7&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C155.7"">한국십진분류법-&gt; 155.7</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=ddc&amp;guCode2=181.45&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C181.45"">듀이십진분류법-&gt; 181.45</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;subject=%EC%9A%94%EA%B0%80%5Byoga%5D+"">요가[yoga] </a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;subject=%EB%B0%94%EA%B0%80%EB%B0%94%EB%93%9C%EA%B8%B0%ED%83%80%5BBhagavadgita%5D+"">   바가바드기타[Bhagavadgita] </a>]"
9,2013,10,고대 중국의 명학,정재현,서강대학교출판부,"[<a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;acConNo=KAC201833787&amp;infoTxt=%EC%A0%80%EC%9E%90%7C%EC%A0%95%EC%9E%AC%ED%98%84"">정재현</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?pageNum=1&amp;pageSize=10&amp;srchTarget=publisher&amp;kwd=서강대학교출판부 "">서강대학교출판부, </a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=kdc&amp;guCode2=152.24&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C152.24"">한국십진분류법-&gt; 152.24</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;gu2=ddc&amp;guCode2=181.11&amp;infoTxt=%EB%B6%84%EB%A5%98%EA%B8%B0%ED%98%B8%7C181.11"">듀이십진분류법-&gt; 181.11</a>, <a class=""txt_blue"" href=""/NL/contents/search.do?detailSearch=true&amp;subject=%EB%AA%85%EA%B0%80%5B%E5%90%8D%E5%AE%B6%5D+"">명가[名家] </a>]"
