연도,번호,도서명,저자명,출판사명
2013,1,한국현대철학사론: 세계상실과 자유의 이념,이규성,이화여자대학교출판부
2013,2,우암 송시열,곽신환,도서출판 서광사
2013,3,"예기집설대전 (곡례 상 1ㆍ2, 하)",陳澔(元),학고방
2013,4,주자학 신연구,이동희,도서출판 문사철
2013,5,심체와 성체 (1~7),모종삼,소명출판
2013,6,"한국유학사 (상, 하)",윤사순,(주)지식산업사
2013,7,"박세당의 장자, 남화경주해산보 내편",박세당,예문서원
2013,8,"묵경 (1, 2)",묵자,(주)도서출판 한길사
2013,9,바가바드 기따,문을식,서강대학교출판부
2013,10,고대 중국의 명학,정재현,서강대학교출판부
2013,11,주자학과 일본 고학파,임옥균,성균관대학교 출판부
2013,12,언어의 연기와 마음의 사회성,남경희,이화여자대학교출판부
2013,13,"양자역학의 역사와 철학: 보어, 아인슈타인, 실재론",김유신,(주)이학사
2013,14,비판적 사고론,김광수,철학과현실사
2013,15,사물의 본성에 관하여,루크레티우스,아카넷
2013,16,윤리형이상학,임마누엘 칸트,아카넷
2013,17,내재적 목적론,박찬국,세창출판사
2013,18,불화 그리고 불온한 시대의 철학,위상복,도서출판 길
2013,19,행위와 사건,도널드 데이빗슨,(주)도서출판 한길사
2013,20,사회계약론 연구,"조긍호, 강정인",서강대학교출판부
2013,21,우연을 길들이다,이언 해킹,바다출판사
2013,22,성명에서 생명으로: 서구의 그리스도교적 인문주의와 동아시아의 자연주의적 인문주의,양명수,이화여자대학교출판부
2013,23,유대교와 헬레니즘(1~3),마르틴 헹엘,나남출판사
2013,24,上座 슈리라타와 經量部,권오민,도서출판 씨아이알
2013,25,한국신종교의 사상과 종교문화,박광수,집문당
2013,26,기독교 관점에서 본 역사 해석의 패러다임 이동,이형기,북코리아
2013,27,예수회의 적응주의 선교,김혜경,서강대학교출판부
2013,28,불교와 불교학,조성택,(주)돌베개
2013,29,덕윤리의 현대적 의의: 의무윤리와 결과윤리가 상보하는 제3윤리의 모색,황경식,아카넷
2013,30,에우데모스 윤리학,아리스토텔레스,(주)도서출판 한길사
2013,31,우리들의 응용 윤리학,박찬구,도서출판 울력
2013,32,서양윤리학에서 본 유학(儒學),도성달,한국학중앙연구원 출판부
2013,33,서주 국가의 지역정치체 통합 연구,김정열,서경문화사
2013,34,종족 형성의 공간과 문화,원정식,위더스북
2013,35,국역『同文彙考』犯越 史料(1~4),,동북아역사재단
2013,36,자연의 저주 : 명·청 시대 장강長江 중류 지역의 개발과 환경,정철웅,책세상
2013,37,왕징웨이 연구―현대 중국 민족주의의 굴절,배경한,(주)일조각
2013,38,사조선록 역주 (1~5),"서긍, 예겸, 장영, 동월, 공용경, 주지번, 강왈광, 아극돈, 백준, 괴령, 마건충, 숭례",소명출판
2013,39,근대 일본 형성기의 국가체제-지방관회의.태정관.천황,박삼헌,소명출판
2013,40,오다 · 도요토미 정권의 사사 지배와 천황,박수철,(사)서울대학교출판문화원
2013,41,"17, 18세기 중국과 조선의 서구 지리학 이해",임종태,(주)창비
2013,42,베트남과 그 이웃 중국,유인선,(주)창비
2013,43,반혁명,자크 고드 쇼,아카넷
2013,44,"프랑스대혁명과 여성, 여성운동-페미니즘의 파란만장한 드라마-",이세희,도서출판 탑북스
2013,45,"공장의 역사-근대 영국사회와 생산, 언어, 정치",이영석,도서출판 푸른역사
2013,46,르네상스기 이탈리아인들의 자아와 타자를 찾아서,임병철,도서출판 푸른역사
2013,47,미국헌법의 탄생,조지형,서해문집
2013,48,한국 신석기문화의 양상와 전개,"박근태, 하인수, 고동순, 임상택, 구자진, 안승모, 최종혁",서경문화사
2013,49,고고학에서의 층 - 이론ㆍ해석ㆍ적용,"이진주, 곽종철",사회평론
2013,50,한국의 농업세시,정승모,(주)일조각
2013,51,독일민속학,김 면,민속원
2013,52,한국의 상례문화-한국유교식 상례의 변화와 지속,김시덕,민속원
2013,53,남도 민속음악의 세계-서남해에서 영산강까지-,이윤선,민속원
2013,54,마을문화의 인문학적 가치,임재해,민속원
2013,55,한국불교의 일생의례,구미래,민족사
