검색어 ,,,,,,,
총 333건 중 333건 출력,,,,,,,
No.,자료 유형,서명,저자,출판사,청구기호,출판년,수록 매체
1,단행본,부의 본능 : 슈퍼리치가 되는 9가지 방법,브라운스톤,토트,332.024 018됴,2018,
2,단행본,부의 인문학 : 슈퍼리치의 서재에서 찾아낸 부자의 길,브라운스톤,Openmind,332.024 019모,2019,
3,단행본,(성숙한 어른이 갖춰야 할) 좋은 심리 습관,유헌 劉軒,다연,158.1 020루,2020,
4,단행본,그리고 아무도 없었다,"Christie, Agatha",해문출판사,823 C464an 002갸,2002 / 2판,
5,단행본,시민의 불복종,"Thoreau, Henry David",이레,323.44 99가,1999,목차
6,단행본,그리스인 조르바 : 니코스 카잔차키스 장편소설,"Kazantzakis, Nikos",열린책들,889.3 K189xz 009가,2009 / 세계문학판,
7,단행본,원더풀 사이언스 : 아름다운 기초과학 산책,"Angier, Natalie",지호,500 010가,2010,
8,단행본,책은 도끼다 : 박웅현 인문학 강독회,박웅현,북하우스,BA 028.1 011가,2011,
9,단행본,데미안 : 에밀 싱클레어의 청춘 이야기 : 헤르만 헤세 장편소설,"Hesse, Hermann",문학동네,833 H463d 013가,2013,
10,단행본,개념의료 : 왜 병원에만 가면 화가 날까,박재영,청년의사,362.1 013갸,2013,
11,단행본,내가 확실히 아는 것들,"Winfrey, Oprah",북하우스,791.45028092 W726 014가,2014,
12,단행본,어떻게 죽을 것인가 : 현대 의학이 놓치고 있는 삶의 마지막 순간,"Gawande, Atul",부키,362.175 015가,2015,
13,단행본,"정리하는 뇌 : 디지털 시대, 정보와 선택 과부하로 뒤엉킨 머릿속과 일상을 정리하는 기술","Levitin, Daniel J",와이즈베리,153.42 015거,2015,
14,단행본,어린 왕자,"Saint-Exupéry, Antoine de",열린책들,843 Sa28p 015갸,2015,
15,단행본,앵무새 죽이기 : 하퍼 리 장편소설,"Lee, Harper",열린책들,823 L512t 015가,2015,
16,단행본,유엔미래보고서 2050 : the millennium project,박영숙,교보문고,303.49 016가,2016,
17,단행본,"(난생 처음 한번 공부하는) 미술 이야기. 1, 원시, 이집트, 메소포타미아 문명과 미술 : 미술하는 인간이 살아남는다",양정무,사회평론,709 016갸,2016,
18,단행본,"명견만리 : 향후 인류에게 가장 중요한 것들을 말하다 : 인구, 경제, 북한, 의료 편",한국방송공사. 명견만리제작팀,인플루엔셜,303.49 016거,2016,
19,단행본,"명견만리 : 우리가 준비해야 할 미래의 기회를 말하다 : 윤리, 기술, 중국, 교육 편",한국방송공사. 명견만리제작팀,인플루엔셜,303.49 016규,2016,
20,단행본,편의점 인간,촌전사야향 村田沙耶香,살림,813.37 촌전사 곰016가,2016,
21,단행본,완벽한 공부법 : 모든 공부의 최고의 지침서,고영성,로크미디어,371.30281 017가,2017,
22,단행본,(필립 코틀러의) 마켓 4.0 : 4차 산업혁명이 뒤바꾼 시장을 선점하라,"Kotler, Philip",더퀘스트 : 길벗,658.8 017거,2017,
23,단행본,센서티브 : 남들보다 민감한 사람을 위한 섬세한 심리학,"Sand, Ilse",다산3.0,155.232 017갸,2017,
24,단행본,질적 연구자 되기,"Glesne, Corrine",아카데미프레스,300.72 017고,2017,
25,단행본,잠 : 베르나르 베르베르 장편소설. 1,"Werber, Bernard",열린책들,843 W491s 017가,2017,
26,단행본,"명견만리 : 지금까지 경험하지 못한 새로운 사회를 말하다 : 정치, 생애, 직업, 탐구 편",한국방송공사. 명견만리제작팀,인플루엔셜,303.49 017구,2017,
27,단행본,(돌이킬 수 없는) 약속 : 야쿠마루 가쿠 장편소설,약환악 藥丸岳,Book plaza,813.37 약환악 서017가,2017,
28,단행본,극한의 경험 : 유발 하라리의 전쟁 문화사,"Harari, Yuval N",옥당,355.001 017가,2017,
29,단행본,아픔이 길이 되려면 : 정의로운 건강을 찾아 질병의 사회적 책임을 묻다,김승섭,동아시아,306.461 017가,2017,
30,단행본,(비울수록 사람을 더 채우는) 말그릇,김윤나,카시오페아,158.2 017다,2017,
31,단행본,"그해, 여름 손님","Aciman, André",잔,823 Ac48c 018가,2018,
32,단행본,우울할 땐 뇌 과학 : 최신 뇌 과학과 신경생물학은 우울증을 어떻게 해결하는가,"Korb, Alex",심심 : 푸른숲,616.8527 018가,2018,
33,단행본,"플랫폼 제국의 미래 : 구글, 아마존, 페이스북, 애플 그리고 새로운 승자","Galloway, Scott",비즈니스북스,338.761004678 018가,2018,
34,단행본,고양이 : 베르나르 베르베르 장편소설. 1,"Werber, Bernard",열린책들,843 W491d 018가,2018,
35,단행본,모두 거짓말을 한다 : 구글 트렌드로 밝혀낸 충격적인 인간의 욕망,"Stephens-Davidowitz, Seth",더퀘스트 : 길벗,302.231 018거,2018,
36,단행본,원칙,"Dalio, Ray",한빛비즈,650.1 018도,2018,
37,단행본,어디서 살 것인가 : 우리가 살고 싶은 곳의 기준을 바꾸다,유현준,을유문화사,711.4 018그,2018,
38,단행본,열두 발자국,정재승,어크로스,502 018녀,2018,
39,단행본,21세기를 위한 21가지 제언 : 더 나은 오늘은 어떻게 가능한가,"Harari, Yuval N",김영사,909.82 018가,2018,
40,단행본,퇴근길 인문학 수업 : 멈춤 : 바쁜 걸음을 멈추고 나를 둘러싼 세계와 마주하기,백상경제연구원,한빛비즈,001.3 018러,2018,
41,단행본,퇴근길 인문학 수업 : 전환 : 지금과는 다른 시선으로 나를 돌아보기,백상경제연구원,한빛비즈,001.3 018마,2018,
42,단행본,퇴근길 인문학 수업 : 전진 : 일상의 시간에서 세상 밖으로 다시 나아가기,백상경제연구원,한빛비즈,001.3 018먀,2018,
43,단행본,나는 그것에 대해 아주 오랫동안 생각해 : 김금희 짧은 소설,김금희 金錦姬,마음산책,811.37 김금희 나018가,2018,
44,단행본,150년 하버드 글쓰기 비법 : SNS부터 보고서까지 이 공식 하나면 끝,송숙희,유노북스,808 018러,2018,
45,단행본,12가지 인생의 법칙 : 혼돈의 해독제,"Peterson, Jordan B",메이븐,170.44 018교,2018,
46,단행본,"90년생이 온다 : 간단함, 병맛 솔직함으로 기업의 흥망성쇠를 좌우하는",임홍택,Whale books,305.242 018거,2018,
47,단행본,비커밍,"Obama, Michelle",웅진지식하우스,973.932092 Ob1 018가,2018,
48,단행본,아가씨와 밤 : 기욤 뮈소 장편소설,"Musso, Guillaume",밝은세상,843 M977j 018가,2018,
49,단행본,(비됴클래스 하줜의) 유튜브 동영상 편집 with 프리미어 프로,하지원,한빛미디어,006.686 018두,2018,
50,단행본,우리 몸이 세계라면 : 분투하고 경합하며 전복되는 우리 몸을 둘러싼 지식의 사회사,김승섭,동아시아,612 018구,2018,
51,단행본,트렌드 코리아 2020 : 서울대 소비트렌드 분석센터의 2020 전망,김난도 金蘭都,미래의창,338.544 019녀,2019,
52,단행본,날씨가 좋으면 찾아가겠어요 : 이도우 장편소설 : 윈터 에디션,이도우,시공사,BA 811.37 이도우 사020가,2020,
53,단행본,타인의 해석 : 당신이 모르는 사람을 만났을 때,"Gladwell, Malcolm",김영사,302 020갸,2020,
54,단행본,젊은작가상 수상작품집. 제11회(2020),강화길,문학동네,811.3708 010그,2020,
55,단행본,"움직임의 힘 : 운동은 어떻게 행복과 희망, 친밀감과 용기를 찾도록 돕는가","McGonigal, Kelly",Andromedian : 로크미디어,613.71 020갸,2020,
56,단행본,디플레 전쟁,홍춘욱,스마트북스,332.41 020가,2020,
57,단행본,디즈니만이 하는 것,"Iger, Robert",쌤앤파커스,384.8092 Ig2 020가,2020,
58,단행본,포스트 코로나 : 우리는 무엇을 준비할 것인가,임승규,한빛비즈,303.4 020겨,2020,
59,단행본,(코로나) 투자 전쟁 : 전 세계 금융 역사 이래 최대의 유동성,정채진,page2,332.042 020거,2020,
60,단행본,코로나 이후의 세계 : 블룸버그 선정 세계 1위 미래학자 제이슨 솅커의 미래예측,"Schenker, Jason",미디어숲,303.49 020고,2020,
61,단행본,일 잘하는 사람은 단순하게 말합니다,박소연,더퀘스트 : 길벗,808.56 020가,2020,
62,단행본,자본과 이데올로기,"Piketty, Thomas",문학동네,332.041 020가,2020,
63,단행본,마켓컬리 인사이트 : 스케일을 뛰어넘는 디테일로 시장을 장악하는 방식,김난도 金蘭都,다산북스,658.4 020구,2020,
64,단행본,영양의 비밀 : 동물에게 배우는 최상의 건강관리비법,"Provenza, Frederick D",Bronstein : 로크미디어,613.2 020갸,2020,
65,단행본,체리새우 : 비밀글입니다 : 황영미 장편소설,황영미 黃英美,문학동네,811.37 황영미 체019가,2019,
66,단행본,소설 보다 : 여름 2020,강화길,문학과지성사,811.3708 020뇨,2020,
67,단행본,아가미 : 구병모 장편소설,구병모 具竝模,위즈덤하우스,811.37 구병모 아018가,2018,
68,단행본,옥상에서 만나요 : 정세랑 소설집,정세랑 鄭世朗,창비,811.37 정세랑 옥018가,2018,
69,단행본,하마터면 열심히 살 뻔했다 : 야매 득도 에세이,하완,웅진지식하우스,811.8 하완 하018가,2018,
70,단행본,(전설로 떠나는) 월街의 영웅 : 주식투자에서 상식으로 성공하는 법,"Lynch, Peter (Peter S.)",국일증권경제연구소,332.6322 017고,2017 / 개정2판,
71,단행본,팩트풀니스 : 우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,"Rosling, Hans",김영사,155.9042 019가,2019,
72,단행본,"대변동 : 위기, 선택, 변화 : 무엇을 선택하고 어떻게 변화할 것인가","Diamond, Jared M",김영사,303.484 019거,2019,
73,단행본,선량한 차별주의자,김지혜,창비,305 019갸,2019,
74,단행본,오직 두 사람 : 김영하 소설,김영하 金英夏,문학동네,811.37 김영하 오017가,2017,
75,단행본,"다시, 책으로 : 순간접속의 시대에 책을 읽는다는 것","Wolf, Maryanne",어크로스,401.84019 019가,2019,
76,단행본,에이트 : 인공지능에게 대체되지 않는 나를 만드는 법,이지성,차이정원,303.4834 019교,2019,
77,단행본,"어른이 되면 괜찮을 줄 알았다 : 심리학, 어른의 안부를 묻다",김혜남,포르체,155.25 019가,2019,
78,단행본,대한민국 업종별 재무제표 읽는 법,이민주,스프링,657.3 011기,2011,
79,단행본,역사의 쓸모 : 자유롭고 떳떳한 삶을 위한 22가지 통찰,최태성,다산초당,902 019가,2019,
80,단행본,"(1일 1페이지,) 세상에서 가장 짧은 교양 수업 365","Kidder, David S",위즈덤하우스,909 019두,2019,
81,단행본,연필로 쓰기 : 김훈 산문,김훈 金薰,문학동네,811.4 김훈 연019가,2019,
82,단행본,숨 : 테드 창 소설,"Chiang, Ted",엘리 : 북하우스퍼블리셔스,823 C43e 019가,2019,
83,단행본,죽음 : 베르나르 베르베르 장편소설. 2,"Werber, Bernard",열린책들,843 W491d 019가,2019,
84,단행본,운다고 달라지는 일은 아무것도 없겠지만 : 박준 산문,박준,난다,811.4 박준 운017가,2017,
85,단행본,경애의 마음 : 김금희 장편소설,김금희 金錦姬,창비,811.37 김금희 경018가,2018,
86,단행본,죽음 : 베르나르 베르베르 장편소설. 1,"Werber, Bernard",열린책들,843 W491d 019가,2019,
87,단행본,새 논문작성법,연세대학교. 연구처,연세대학교 출판부,808.066 98겨,1998 / 제4판,목차
88,단행본,"진이, 지니 : 정유정 장편소설",정유정 丁柚井,은행나무,811.37 정유정 진019가,2019,
89,단행본,부의 추월차선 : 부자들이 말해 주지 않는 진정한 부를 얻는 방법,"DeMarco, M. J",토트 : 북새통,332.024 013됴,2013,
90,단행본,파타고니아 : 파도가 칠 때는 서핑을,"Chouinard, Yvon",라이팅하우스,658.4083 020가,2020,
91,단행본,(권오현) 초격차 : 넘볼 수 없는 차이를 만드는 격,권오현 權五鉉,쌤앤파커스,658.4092 018더,2018,
92,단행본,기록의 쓸모 : 마케터의 영감노트,이승희,북스톤,658.8002 020가,2020,
