년도,부문,분야,도서명,저자,출판사,출판일,가격,예상독자,ISBN
2023,학술,총류,10대를 위한 데이터 과학 with 엔트리 : 일상의 문제를 데이터로 해결해보자!,"구덕회, 김갑수, 김정은, 좌하은",(주)잇플ITPLE,2022-10-20,26500,초등,9791191198256
2023,학술,총류,"24단계 실습으로 정복하는 쿠버네티스 : 헬름, 로키, 프로메테우스 등 현장에서 바로 활용할 수 있는 쿠버네티스 도구 활용법",이정훈,위키아카데미,2022-11-10,28000,성인,9791158393717
2023,학술,총류,ChatGPT로 시작하는 대화형 인공지능 활용법,김상윤,에이콘출판(주),2023-05-31,22000,성인,9791161757414
2023,학술,총류,GraphQL과 타입스크립트로 개발하는 웹 서비스 : 설계부터 개발 &middot; 배포까지 따라 하며 완성하는 웹 풀스택 개발,강화수,주식회사 비제이퍼블릭,2022-10-14,25000,성인,9791165921774
2023,학술,총류,IT 비전공자를 위한 파이썬 업무 자동화(RPA),비현코 (김우현),디지털북스,2023-04-30,26000,성인,9788960884250
2023,학술,총류,XAI 설명 가능한 AI : 주요 파이썬 라이브러리를 활용한 개별 기술 학습과 실습까지,오오쓰보 나오키 외 8인 / 김대희,주식회사 비제이퍼블릭,2022-11-24,27000,성인,9791165921644
2023,학술,총류,가장 쉬운 독학 알고리즘 첫걸음 : 파이썬편 : 코딩 테스트에 대비하는 25가지 기초 알고리즘과 최적화,마스이 도시카츠 / 박광수(아크몬드),동양북스,2022-05-13,23500,성인,9791157688050
2023,학술,총류,기업의 DX와 5G : 기업의 디지털 혁신을 위한 5G 자가망 사례 및 도입/구축 입문서,"최성남, 안철주, 육영수",에이콘출판(주),2023-03-03,35000,성인,9791161757308
2023,학술,총류,"김기현의 딥러닝 부트캠프 with 파이토치 : 기초부터 수식, 실습까지 담은 올인원 딥러닝 입문 교과서",김기현,한빛미디어 (주),2022-08-30,38000,성인,9791169210140
2023,학술,총류,"나는 처세술 대신 데이터 분석을 택했다 : 쉽게 이해하고 활용할 수 있는 AI, Big Data 입문서",정경문,로드북,2023-04-12,25000,성인,9791198268600
2023,학술,총류,누구나 쉽게 배우는 인공지능 스타트,박동규,인피니티북스(주),2022-07-25,27000,성인,9791192373041
2023,학술,총류,눈 떠보니 메타버스 젭(ZEP) 마스터 : 메타버스 젭(ZEP) 플랫폼 활용 가이드,"최재용, 진성민",도서출판 광문각,2022-06-30,20000,성인,9788970932194
2023,학술,총류,"데이터 사이언티스트 실전 노트 : 데이터의 핵심부터 포트폴리오까지, 한 권으로 돌파하기",이지영,주식회사 비제이퍼블릭,2022-06-29,30000,성인,9791165921521
2023,학술,총류,데이터로 말해요! 데이터 중심의 사고 &middot; 기획 &middot; 보고의 기술,김철수,위키북스,2023-01-10,18000,성인,9791158393960
2023,학술,총류,도서관이란 무엇인가?,이제환,도서출판태일사,2023-02-20,16000,성인,9791187268673
2023,학술,총류,모두를 위한 메타러닝 : PyTorch를 활용한 Few-shot 학습 모델과 빠른 강화학습 에이전트 만들기,정창훈 외 5인,위키북스,2022-10-25,26000,성인,9791158393670
2023,학술,총류,모두의 깃&amp;깃허브 : 누구나 쉽게 시작하는 git&amp;github 버전 관리,강민철,(주)도서출판 길벗 ,2022-07-25,20000,성인,9791140700691
2023,학술,총류,삐뽀삐뽀 보안 119,문광석,주식회사 제이펍,2022-09-06,29000,성인,9791192469218
2023,학술,총류,생활 속 예제로 배우는 생생 데이터 분석,조인석,한빛아카데미(주),2023-01-01,23000,성인,9791156646310
2023,학술,총류,유니티를 활용한 메타버스 교과서,"김영일, 임상국",길벗캠퍼스,2023-01-10,29000,성인,9791140702695
2023,학술,총류,인공지능 소프트웨어 품질 보증을 위한 테스트 기법,"사토 나오토, 오가와 히데토, 구루마 히로노부, 묘진 도모유키 / 황석형",주식회사 제이펍,2023-03-02,26000,성인,9791192469812
2023,학술,총류,인공지능은 게임을 어떻게 움직이는가? : 플레이어를 몰입하게 만드는 전략 게임의 인공지능 기술,미야케 요이치로 / 안동현,이지스퍼블리싱(주),2022-06-30,18000,성인,9791163033790
2023,학술,총류,자율주행차량의 비전과 행동,"루카 벤투리, 크리쉬토프 코르다 / 김은도, 신지호, 박희웅, 이승열, 박세진",에이콘출판(주),2023-04-28,40000,성인,9791161757513
2023,학술,총류,재난만큼 위험한 AI 오류 인공지능 안전성에 주목하라,김창익,도서출판 홍릉,2023-05-19,19000,성인,9791156000976
2023,학술,총류,제로 트러스트 보안 : 기업 환경에서의 보안 운영,"제이슨 가비스, 제리 채프먼 / 서도현",에이콘출판(주),2023-01-31,35000,성인,9791161757223
2023,학술,총류,"좋은 코드, 나쁜 코드 : 프로그래머의 코드 품질 개선법",톰 롱 / 차건회,주식회사 제이펍,2022-05-26,30000,성인,9791191600896
2023,학술,총류,죽음의 시공간 : 삶 너머의 의료인문학,최성민 외 5인,도서출판 모시는사람들,2023-03-15,15000,성인,9791166291562
2023,학술,총류,중독 조절을 위한 독서치료 : 주제별 독서치료 시리즈(5) - 중독,"임성관, 김은하, 양경미, 이현정",시간의물레,2022-12-12,22000,성인,9788965114130
2023,학술,총류,책의 나라 조선의 출판혁명(1-2),황태연,한국문화사,2023-02-28,78000,성인,"9791169191012(1권), 9791169191029(2권)"
2023,학술,총류,챗GPT와 썸타기 : 놀랄 만큼 쉬운 챗GPT 활용법,한선관 외 5인,(주)성안당,2023-05-31,19000,성인,9788931559859
2023,학술,총류,컴퓨터 비전과 딥러닝,오일석,한빛아카데미(주),2023-01-05,39000,성인,9791156645481
2023,학술,총류,클라우드 네이티브 애플리케이션 디자인 패턴 : 애플리케이션의 배포와 운영을 고려한 7가지 설계 패턴,"카순 인드라시리, 스리스칸다라자 수호티얀 / 박수현",한빛미디어 (주),2022-06-02,28000,성인,9791162245675
2023,학술,총류,클라우드 네이티브 프로그래밍을 위한 쿠버네티스 개발 전략 ,허준,주식회사 도서출판인사이트,2022-11-09,22000,성인,9788966263714
2023,학술,총류,테라폼으로 시작하는 IaC : 테라폼 입문부터 실무 적용까지 올인원 가이드,"김민수, 김재준, 이규석, 이유종",한빛미디어 (주),2023-05-30,30000,성인,9791169211123
2023,학술,총류,파이썬 코드로 배우는 Git&amp;Github : 협업하는 개발자를 위한 버전 관리 지침서,유광명,영진닷컴,2022-12-10,20000,성인,9788931467659
