검색어 ,,,,,,,
총 525건 중 525건 출력,,,,,,,
No.,자료 유형,서명,저자,출판사,청구기호,출판년,수록 매체
1,단행본,성장과 분화,"Vygotskii, L. S. (Lev Semenovich)",살림터,155.4 015가,2015,
2,단행본,(의학논문 작성을 위한) R 통계와 그래프,문건웅,한나래,519.50285 015가,2015,
3,단행본,신념과 의심의 정치학,"Oakeshott, Michael Joseph",모티브북,320.01 015갸,2015,
4,단행본,리만 기하학,김강태,교우사,516.373 015가,2015,
5,단행본,시간 연대기 : 현대 물리학이 말하는 시간의 모든 것,"Frank, Adam",에이도스,523.18 015가,2015,
6,단행본,정치 사상과 여성 : 고대그리스에서 마키아벨리까지,"Saxonhouse, Arlene W",전남대학교출판부,305.4 015거,2015,
7,단행본,파산법연구 4,임치룡 林治龍,博英社,법학도 346.078 015가,2015,
8,단행본,나쁜 것의 윤리학 : 몸의 철학과 도덕의 갈래,노양진,서광사,UML 170 015교,2015,
9,단행본,"동아시아 3국의 사회변동과 갈등관리 : 한국, 일본, 중국",정영태 丁榮泰,소명출판,UML 303.4095 015가,2015,
10,단행본,황병기 연구 : 한국 전통음악의 지평을 넓히다,"Killick, Andrew P. (Andrew Peter)",풀빛,음악도 789.97092 황병기 015가,2015,
11,단행본,디아스포라 정체성과 탈식민주의 시학,조은주 趙恩珠,국학자료원,811.109 015교,2015,
12,단행본,부정한 미녀들,"Mounin, Georges",아카넷,UML 401.802 015가,2015,
13,단행본,예술기호론 : 굿맨과 엘긴의 미학,황유경,서울대학교출판문화원,UML 701.17 015가,2015,
14,단행본,이태백시집 : 찾아보기,이백 李白,學古房,812.1 이백 가015가,2015,
15,단행본,이태백시집. 1,이백 李白,學古房,812.1 이백 가015가,2015,
16,단행본,이태백시집. 2,이백 李白,學古房,812.1 이백 가015가,2015,
17,단행본,이태백시집. 3,이백 李白,學古房,812.1 이백 가015가,2015,
18,단행본,이태백시집. 4,이백 李白,學古房,812.1 이백 가015가,2015,
19,단행본,이태백시집. 5,이백 李白,學古房,812.1 이백 가015가,2015,
20,단행본,이태백시집. 6,이백 李白,學古房,812.1 이백 가015가,2015,
21,단행본,이태백시집. 7,이백 李白,學古房,812.1 이백 가015가,2015,
22,단행본,한 중 서비스산업의 비교분석과 교역 확대 방안,김상호 金湘鎬,집문당,338.47 015갸,2015,
23,단행본,세포에서 문명까지 : 생명의 진화가 우리에게 알려 주는 놀라운 사실들,"Coen, Enrico",청아출판사,576.8 015가,2015,
24,단행본,아나키와 예술 : 파리코뮌에서 베를린장벽의 붕괴까지,"Antliff, Allan",이학사,UML 700.103 015가,2015,
25,단행본,네트워크의 지리학,허우긍,푸른길,910 015거,2015,
26,단행본,안드로이드 시큐리티 인터널,"Elenkov, Nikolay",한빛미디어,005.8 015그,2015,
27,단행본,"근대 한국의 자본가들 : 민영휘에서 안휘제까지, 부산에서 평양까지",오미일,푸른역사,305.5234 015가,2015 / 개정판,
28,단행본,실시간 분석의 모든 것 : 스트리밍 데이터 분석 및 시각화 시스템 구축 가이드,"Ellis, Byron",한빛미디어,004.33 015가,2015,
29,단행본,수학적 전투 모델 이론,강정흥,교우사,515.35 015겨,2015,
30,단행본,평생학습자본의 인문학적 통찰 : 기초자본을 넘어 촉진자본으로,차갑부,교육과학사,374 015규,2015,
31,단행본,"지반역공학. 1, 지반 거동과 모델링",신종호 辛宗昊,씨아이알,624.151 015갸,2015,
32,단행본,한국의 군과 시민사회 : 미완의 훈수,홍두승 洪斗承,인간사랑,355.033551 015거,2015,
33,단행본,독일어 인지문법론,구명철 具明徹,역락,435 015가,2015,
34,단행본,한국 근대시의 흐름과 고원,곽명숙 郭明淑,소명출판,811.109 015뮤,2015,
35,단행본,슈나이어 온 시큐리티 : 안전한 보안에 대해 생각하다,"Schneier, Bruce",에이콘,005.80973 016가,2016,
36,단행본,어쩌다 보니 통계학자 : 통계학의 거장 조지 박스의 삶과 추억,"Box, George E. P",생각의힘,519.5092 B69 015가,2015,
37,단행본,한국어 등재소의 형성과 변화,정한데로,태학사,411.5 015다,2015,
38,단행본,아날로그 회로 설계 : 시스템 회로 설계자를 위한 실전 예제와 문제 해결 가이드,"Dobkin, Bob",에이콘,621.3815 015냐,2015,
39,단행본,데이터 마이닝 : 개념과 기법,"Han, Jiawei",에이콘,006.312 015규,2015,
40,단행본,논리학에 있어서 구조주의와 구성주의,문장수,영한,160 015고,2015,
41,단행본,아리스토텔레스 수사학 연구,한석환,서광사,808.5 015그,2015,
42,단행본,하이데거와 교육 : 인간다움과 교육적 삶,엄태동 嚴泰動,교육과학사,370.1 016너,2016,
43,단행본,백두산 두만강 압록강 : 지형·지층 및 토양에 관한 연구,유충걸,백산출판사,551.21 015갸,2015,
44,단행본,한국 음악학 연구 방법론,김우진 金宇振,민속원,음악도 780.951 015고,2015,
45,단행본,석유에너지 지질학,정대교,시그마프레스,553.282 016가,2016,
46,단행본,스루풋 맥스 전략,김남영,박영사,658.5 015기,2015,
47,단행본,皇帝와 瓷器 : 宋代官窯硏究,이희관 李喜寬,景仁文化社,738.2095244 016가,2016,
48,단행본,불교인식론 연구 : 다르마끼르띠의 『쁘라마나바릇띠까』「현량론」,호기굉정 戶崎宏正,길,294.3 015교,2015,
49,단행본,(핵심) 효소학,김영재,월드사이언스,572.7 015가,2015,
50,단행본,1940년대 극장의 감성과 이데올로기,전지니,혜안,792.09516 015가,2015,
51,단행본,서비스 중심의 비즈니스 모델 혁신 전략,김용진,율곡출판사,658.401 015더,2015,
52,단행본,(서박사의) 서비스 공감기행 : 대한민국 7大 명품 기업 서비스 체험기,서진영 徐鎭英,한국표준협회미디어,658.812 015나,2015,
53,단행본,한국 성리학 속의 심학,김세정,예문서원,181.132 015규,2015,
54,단행본,종교적 이미지의 형상적 기능 : 시각적 이미지와 종교적 경험,정형철,동인,204.2 015갸,2015,
55,단행본,憲法과 法律이 지배하는 社會,김철수 金哲洙,진원사,법학도 342 016쇼,2016,
56,단행본,사회적 경영전략 : 이론과 사례 : 더 좋은 세상을 위한 지속가능 경영전략,이견직,무역경영사,658.4012 015더,2015,
57,단행본,한국 사회교육사상사,오혁진,학지사,374.951 016가,2016,
58,단행본,(생각이 필요한) 식용유지학,윤석후,수학사,664.3 015가,2015,
59,단행본,효율성·생산성·성과분석,강상목,법문사,658.5 015나,2015,
60,단행본,(역주) 백서주역교석 : 새로운 《주역》의 탄생. 1,등구백 鄧球柏,學古房,181.41 015그,2015,
61,단행본,(역주) 백서주역교석 : 새로운 《주역》의 탄생. 2,등구백 鄧球柏,學古房,181.41 015그,2015,
62,단행본,일본은 어떻게 독도를 인식해 왔는가,정영미,한국학술정보,951.95 015뉴,2015,
63,단행본,포스트-옴 시대 일본 사회의 향방과 '스피리추얼리티' : 옴 사건·일본교·네오-내셔널리즘,박규태,한양대학교출판부,200.953 015갸,2015,
64,단행본,세종 공법,오기수,조율,법학도 343.04 016뱌,2016,
65,단행본,어머니 양육행동 관련 변인들과 유아 사회정서행동 간의 구조모형 분석,심숙영,집문당,649.1 015누,2015,
66,단행본,인도 힌두신화와 문화,유경희,서울대학교출판문화원,201.30954 016가,2016,
67,단행본,한국 시가의 유형적 성격과 작품 전개 구도,전재강,새문사,811.9109 015갸,2015,
68,단행본,연행론의 학문적 연행에 대한 반성적 고찰,허용호,민속원,390 015가,2015,
69,단행본,수목의학,이경준,서울대학교출판문화원,634.96 015가,2015,
70,단행본,이오네스코의 연극적 상상력,박형섭,한국문화사,842 IoY 016가,2016,
71,단행본,구사론 : 계품·근품·파아품 : 신도 영혼도 없는 삶,Vasubandhu,한국학중앙연구원출판부,294.382 015그,2015,
72,단행본,턱교정 수술 및 안면윤곽술,최진영,범문에듀케이션,617.643 015가,2015,
73,단행본,역시만필 : 조선 어의 이수귀의 동의보감 실전기,이수귀,들녘,629.19 역시만 015가,2015,
74,단행본,일본의 크리에이티브 서비스,소림결사 小林潔司,청람,658.0953 016가,2016,
75,단행본,제도와 행위,정용덕,대영문화사,306 016교,2016,
76,단행본,스포츠교육학의 새로운 지평,유태호,경문사,796.07 015가,2015,
77,단행본,항공기 서브시스템,이부일,경문사,629.135 015가,2015,
78,단행본,(파생상품 이해를 위한) 금융수학,고관표,경문사,332.0151 015갸,2015,
79,단행본,악골괴사증의 예방과 치료,김선종,대한나래출판사,617.6 015갸,2015,
80,단행본,(세부전문의를 위한) 간담췌외과 마스터 수술집,한국간담췌외과학회,군자출판사,BA 616.362 015가,2015,
81,단행본,프리스트레스트 콘크리트 : 강도설계법과 한계상태설계법,이재훈,동명사,624.183412 015가,2015,
82,단행본,수학 in 디자인,신현용,교우사,510 015랴,2015,
83,단행본,버섯학 : 각론 : 재배 기술과 기능성,유영복 劉英福,교학사,635.8 016가,2016,
84,단행본,남조국의 세계와 사람들 : 8~9세기 동아시아의 서남 변방,정면 鄭勉,선인,327.52 015겨,2015,
85,단행본,해시계 : 해시계의 수학적 원리 분석,황운구,과학정원 : 교우사,529.7 015가,2015,
86,단행본,사이버 보안과 국가 안보 전략,"Kramer, Franklin D",에이콘,355.343 015갸,2015,
87,단행본,불교와 한글 : 글로컬리티의 문화사,김기종,동국대학교출판부,294.3 015겨,2015,
88,단행본,클라우드 세상 속으로,"Rosenberg, Jothy",에이콘,004.36 015갸,2015,
89,단행본,"17세기 조선, 마음의 철학 : 송시열 학단의 마음에 관한 탐구",이선열,글항아리,181.132 015구,2015,
90,단행본,불교의 원자설 : 불교와 현대물리학의 만남 : 유부의 극미설을 중심으로,윤영호,씨아이알,294.3 015고,2015,
91,단행본,"임란포로, 끌려간 사람들의 이야기",노성환,박문사,951.54 015그,2015,
92,단행본,전통 주거에서 배우는 웰빙 주생활,김자경,Spacetime : 시공문화사,728.0951 015교,2015,
93,단행본,식품독성학,최석영,효일,615.954 015가,2015,
94,단행본,(SAS/ETS를 이용한) 계량경제·금융자료 분석,박유성,자유아카데미,519.50285 016더,2016,
95,단행본,문화예술산업 생태계 서비스모델,권혁인,한경사,338.47306 015고,2015,
96,단행본,해커의 공격 기술,"Dhanjani, Nitesh",에이콘,005.84 015가,2015,
97,단행본,(캐치) 운동생리학,"Katch, Victor L",라이프사이언스,612.044 015가,2015,
98,단행본,분홍 단령의 비밀 : 충남 천안시 유량동 무연고 여성 묘 출토 복식,단국대학교. 석주선기념박물관,민속원,391.00951 015거,2015,
99,단행본,(대한민국의) 철도안전관리 : 철도안전에 대한 설명과 방법론의 제시,곽상록,지식과감성#,625.1 015갸,2015,
100,단행본,사회환경 안전관리 : 참된 삶의 조화,유연 柳然,씨아이알,363.1 016갸,2016,
101,단행본,판소피아와 교육,나현규,학지사,370.1 015누,2015,
102,단행본,(이해하기 쉬운) 식품재료학,조경련,파워북,664.01 015갸,2015,
103,단행본,해양지구환경학 : 생물지구화학의 순환으로 해석,천번수고 川幡穂高,씨아이알,551.46 015갸,2015,
104,단행본,從容錄. 1권,정각 正覺,민족사,294.3927 015구,2015,
105,단행본,從容錄. 2권,정각 正覺,민족사,294.3927 015구,2015,
106,단행본,從容錄. 3권,정각 正覺,민족사,294.3927 015구,2015,
107,단행본,從容錄. 4권,정각 正覺,민족사,294.3927 015구,2015,
108,단행본,從容錄 어휘사전,지현 智賢,민족사,294.392703 015가,2015,
