,subject,title,link
0,19세기미국소설연구 I,The narrative of Arthur Gordon Pym of Nantucket,https://library.yonsei.ac.kr/search/detail/CAT000001615618
1,19세기미국소설연구 I,Love and death in the American novel,https://library.yonsei.ac.kr/search/detail/CAT000001588260
2,19세기미국소설연구 I,"The production of personal life : class, gender, and the psychological in Hawthorne's fiction",https://library.yonsei.ac.kr/search/detail/CAT000001663834
3,19세기미국소설연구 I,"The production of personal life : class, gender, and the psychological in Hawthorne's fiction",https://library.yonsei.ac.kr/search/detail/CAT000001663834
4,19세기미국소설연구 I,The frontier in American history,https://library.yonsei.ac.kr/search/detail/CAT000002197224
5,19세기미국소설연구 I,Moby Dick,https://library.yonsei.ac.kr/search/detail/CAT000001529500
6,19세기미국소설연구 I,Subversive genealogy : the politics and art of Herman Melville,https://library.yonsei.ac.kr/search/detail/CAT000001778154
7,19세기미국소설연구 I,Frederick Douglass's Narrative of the life of Frederick Douglass,https://library.yonsei.ac.kr/search/detail/CAT000001377628
8,19세기미국소설연구 I,The Protestant ethic and the spirit of capitalism,https://library.yonsei.ac.kr/search/detail/CAT000001412726
9,19세기미국소설연구 I,"Master plots : race and the founding of an American literature, 1787-1845",https://library.yonsei.ac.kr/search/detail/CAT000001596158
10,19세기미국소설연구 I,Life in the iron-mills,https://library.yonsei.ac.kr/search/detail/CAT000001573482
11,19세기미국소설연구 I,Hobomok and other writings on Indians,https://library.yonsei.ac.kr/search/detail/CAT000001271292
12,19세기미국소설연구 I,Parlor radical : Rebecca Harding Davis and the origins of American social realism,https://library.yonsei.ac.kr/search/detail/CAT000001579767
13,19세기미국소설연구 I,Narrative of the life of Frederick Douglass : an American slave,https://library.yonsei.ac.kr/search/detail/CAT000001508155
14,20세기영시,"The Norton anthology of modern and contemporary poetry . v. 1, Modern poetry",https://library.yonsei.ac.kr/search/detail/CAT000001618553
15,20세기영시,"The Norton anthology of modern and contemporary poetry . v. 1, Modern poetry",https://library.yonsei.ac.kr/search/detail/CAT000001618553
16,21세기의빈곤,프롤레타리아여 안녕 : 사회주의를 넘어서,https://library.yonsei.ac.kr/search/detail/CAT000000797476
17,21세기의빈곤,푸코 효과 : 통치성에 관한 연구,https://library.yonsei.ac.kr/search/detail/CAT000000897962
18,21세기의빈곤,빈곤자본 : 소액금융과 개발의 패러다임,https://library.yonsei.ac.kr/search/detail/CAT000001909433
19,21세기의빈곤,프레카리아트 : 새로운 위험한 계급,https://library.yonsei.ac.kr/search/detail/CAT000000888501
20,21세기의빈곤,인간의 조건,https://library.yonsei.ac.kr/search/detail/CAT000002088490
21,21세기의빈곤,분배정치의 시대 : 기본소득과 현금지급이라는 혁명적 실험,https://library.yonsei.ac.kr/search/detail/CAT000001828929
22,21세기의빈곤,저렴한 것들의 세계사 : 자본주의에 숨겨진 위험한 역사 자본세 600년,https://library.yonsei.ac.kr/search/detail/CAT000002005630
23,21세기의빈곤,힐튼호텔 옆 쪽방촌 이야기 : 우리는 양동에 삽니다,https://library.yonsei.ac.kr/search/detail/CAT000002082623
24,21세기의빈곤,절멸과 갱생 사이 : 형제복지원의 사회학,https://library.yonsei.ac.kr/search/detail/CAT000002059021
25,21세기의빈곤,"레이디 크레딧 : 성매매, 금융의 얼굴을 하다",https://library.yonsei.ac.kr/search/detail/CAT000002016035
26,21세기의빈곤,내 집에 갇힌 사회 : 생존과 투기 사이에서,https://library.yonsei.ac.kr/search/detail/CAT000002001743
27,21세기의빈곤,Territories of poverty : rethinking North and South,https://library.yonsei.ac.kr/search/detail/CAT000002021464
28,21세기의빈곤,랭스로 되돌아가다,https://library.yonsei.ac.kr/search/detail/CAT000002041068
29,21세기의빈곤,복지의 배신,https://library.yonsei.ac.kr/search/detail/CAT000001788672
30,21세기의빈곤,하틀랜드 : 세계에서 가장 부유한 나라에서 뼈 빠지게 일하고 쫄딱 망하는 삶에 관하여,https://library.yonsei.ac.kr/search/detail/CAT000002008682
31,21세기의빈곤,가난 사파리 : 하층계급은 왜 분노하는가,https://library.yonsei.ac.kr/search/detail/CAT000002000986
32,3S와코리안뉴웨이브,이장호 vs 배창호 : 1980년대 한국영화의 최전선,https://library.yonsei.ac.kr/search/detail/CAT000000222701
33,3S와코리안뉴웨이브,한국 뉴웨이브 영화 : 1975~1995 : 영상시대/하길종부터 뉴웨이브/장선우까지,https://library.yonsei.ac.kr/search/detail/CAT000002036641
34,3S와코리안뉴웨이브,(1990년대) 한국영화 : 우리가 알고 있는 한국영화의 모든 것,https://library.yonsei.ac.kr/search/detail/CAT000002146233
35,3S와코리안뉴웨이브,"영화, 변혁운동이 되다 : 서울대 얄라셩에서 시네마테크까지",https://library.yonsei.ac.kr/search/detail/CAT000002172449
36,3S와코리안뉴웨이브,한국 신자유주의의 기원과 형성,https://library.yonsei.ac.kr/search/detail/CAT000000806198
37,3S와코리안뉴웨이브,(1980년대) 한국영화 : '서울의 봄'부터 코리안 뉴웨이브까지,https://library.yonsei.ac.kr/search/detail/CAT000002189696
38,3S와코리안뉴웨이브,"영화언어 1989년 봄에서 1995년 봄까지, 2, 시론 산업 제도 정책",https://library.yonsei.ac.kr/search/detail/CAT000000502956
39,3S와코리안뉴웨이브,"영화언어 1989년 봄에서 1995년 봄까지, 1, 이론 텍스트 분석 비평",https://library.yonsei.ac.kr/search/detail/CAT000000504674
40,3S와코리안뉴웨이브,"충무로, 새로운 물결 : 기획영화에서 한국독립영화협회까지",https://library.yonsei.ac.kr/search/detail/CAT000002172448
