,주류,강목,요목번호,요목명,세목번호,세목명
0,"Computer science, information & general works",,000,"Computer science, information & general works",000,"Computer science, information, general works"
1,"Computer science, information & general works","Computer science, knowledge & systems",000,"Computer science, information, general works",000,"Computer science, information, general works"
2,"Computer science, information & general works","Computer science, knowledge & systems",001,Knowledge,001,Knowledge
3,"Computer science, information & general works","Computer science, knowledge & systems",001,Knowledge,001.01,Theory of knowledge
4,"Computer science, information & general works","Computer science, knowledge & systems",001,Knowledge,001.0601,"Knowledge--international organizations, . . ."
5,"Computer science, information & general works","Computer science, knowledge & systems",001,Knowledge,001.089,Knowledge--ethnology
6,"Computer science, information & general works","Computer science, knowledge & systems",001,Knowledge,001.09,"Knowledge--history, . . ."
7,"Computer science, information & general works","Computer science, knowledge & systems",001,Knowledge,001.1,Intellectual life
8,"Computer science, information & general works","Computer science, knowledge & systems",001,Knowledge,001.2,Scholarship and learning
9,"Computer science, information & general works","Computer science, knowledge & systems",001,Knowledge,001.3,Humanities
10,"Computer science, information & general works","Computer science, knowledge & systems",001,Knowledge,001.4,Research
11,"Computer science, information & general works","Computer science, knowledge & systems",001,Knowledge,001.9,Controversial knowledge
12,"Computer science, information & general works","Computer science, knowledge & systems",002,The book,002,The book
13,"Computer science, information & general works","Computer science, knowledge & systems",002,The book,002[.0216],"Lists, inventories, catalogs"
14,"Computer science, information & general works","Computer science, knowledge & systems",002,The book,002.0277,"Books--ownership marks, . . ."
15,"Computer science, information & general works","Computer science, knowledge & systems",002,The book,002.0288,Books--maintenance
16,"Computer science, information & general works","Computer science, knowledge & systems",002,The book,002.029,Commercial miscellany
17,"Computer science, information & general works","Computer science, knowledge & systems",002,The book,002.074,"Museums, collections, exhibits"
18,"Computer science, information & general works","Computer science, knowledge & systems",002,The book,002.075,"Books--collecting, . . ."
19,"Computer science, information & general works","Computer science, knowledge & systems",002,The book,002.083,Children's books
20,"Computer science, information & general works","Computer science, knowledge & systems",002,The book,002.09,Books--history
21,"Computer science, information & general works","Computer science, knowledge & systems",003,Systems,003,Systems
22,"Computer science, information & general works","Computer science, knowledge & systems",003,Systems,003[.0285],Computer applications
23,"Computer science, information & general works","Computer science, knowledge & systems",003,Systems,003.092,Systems analysts
24,"Computer science, information & general works","Computer science, knowledge & systems",003,Systems,003.1,System identification
25,"Computer science, information & general works","Computer science, knowledge & systems",003,Systems,003.2,Forecasting and forecasts
26,"Computer science, information & general works","Computer science, knowledge & systems",003,Systems,003.3,Computer modeling and simulation
27,"Computer science, information & general works","Computer science, knowledge & systems",003,Systems,003.5,Theory of communication and control
28,"Computer science, information & general works","Computer science, knowledge & systems",003,Systems,003.7,Kinds of systems
29,"Computer science, information & general works","Computer science, knowledge & systems",003,Systems,003.8,Systems distinguished in relation to time
30,"Computer science, information & general works","Computer science, knowledge & systems",004-006,"Computer science; software development, software, data; special computer methods",004-006,"Computer science; software development, software, data; special computer methods"
31,"Computer science, information & general works","Computer science, knowledge & systems",004-006,"Computer science; software development, software, data; special computer methods",004,Computer science
32,"Computer science, information & general works","Computer science, knowledge & systems",004-006,"Computer science; software development, software, data; special computer methods",005,"*Software development, software, data, security"
33,"Computer science, information & general works","Computer science, knowledge & systems",004-006,"Computer science; software development, software, data; special computer methods",006,*Special computer methods
34,"Computer science, information & general works",Bibliographies,010,Bibliography,010,Bibliography
35,"Computer science, information & general works",Bibliographies,010,Bibliography,010[.28],"Auxiliary techniques and procedures; apparatus, equipment, materials"
36,"Computer science, information & general works",Bibliographies,010,Bibliography,010.4,Special topics of bibliography
37,"Computer science, information & general works",Bibliographies,010,Bibliography,010.7,"Education, research, related topics"
38,"Computer science, information & general works",Bibliographies,010,Bibliography,010.92,Bibliographers
39,"Computer science, information & general works",Bibliographies,011,Bibliographies and catalogs,011,Bibliographies and catalogs
40,"Computer science, information & general works",Bibliographies,011,Bibliographies and catalogs,011.001,Philosophy and theory
41,"Computer science, information & general works",Bibliographies,011,Bibliographies and catalogs,011.002,Miscellany
42,"Computer science, information & general works",Bibliographies,011,Bibliographies and catalogs,011.003-011.007,Standard subdivisions
43,"Computer science, information & general works",Bibliographies,011,Bibliographies and catalogs,011.008,Groups of people
44,"Computer science, information & general works",Bibliographies,011,Bibliographies and catalogs,011.009,"History, geographic treatment, biography"
45,"Computer science, information & general works",Bibliographies,011,Bibliographies and catalogs,011.02,*Bibliographies and catalogs of reference works
46,"Computer science, information & general works",Bibliographies,011,Bibliographies and catalogs,011.03,*Bibliographies and catalogs of free materials
47,"Computer science, information & general works",Bibliographies,011,Bibliographies and catalogs,011.09,General bibliographies and catalogs of works published in specific historical periods
48,"Computer science, information & general works",Bibliographies,011,Bibliographies and catalogs,011.1-011.8,General bibliographies and catalogs
49,"Computer science, information & general works",Bibliographies,012-017,"Bibliographies and catalogs of individuals, of anonymous and pseudonymous works, of works from specific places, of works on specific subjects, of works held in specific collections or offered for sale",012-017,"Bibliographies and catalogs of individuals, of anonymous and pseudonymous works, of works from specific places, of works on specific subjects, of works held in specific collections or offered for sale"
50,"Computer science, information & general works",Bibliographies,012-017,"Bibliographies and catalogs of individuals, of anonymous and pseudonymous works, of works from specific places, of works on specific subjects, of works held in specific collections or offered for sale",012,Bibliographies and catalogs of individuals
51,"Computer science, information & general works",Bibliographies,012-017,"Bibliographies and catalogs of individuals, of anonymous and pseudonymous works, of works from specific places, of works on specific subjects, of works held in specific collections or offered for sale",[013],[Unassigned]
52,"Computer science, information & general works",Bibliographies,012-017,"Bibliographies and catalogs of individuals, of anonymous and pseudonymous works, of works from specific places, of works on specific subjects, of works held in specific collections or offered for sale",014,Bibliographies and catalogs of anonymous and pseudonymous works
53,"Computer science, information & general works",Bibliographies,012-017,"Bibliographies and catalogs of individuals, of anonymous and pseudonymous works, of works from specific places, of works on specific subjects, of works held in specific collections or offered for sale",015,Bibliographies and catalogs of works from specific places
54,"Computer science, information & general works",Bibliographies,012-017,"Bibliographies and catalogs of individuals, of anonymous and pseudonymous works, of works from specific places, of works on specific subjects, of works held in specific collections or offered for sale",016,Bibliographies and catalogs of works on specific subjects
55,"Computer science, information & general works",Bibliographies,012-017,"Bibliographies and catalogs of individuals, of anonymous and pseudonymous works, of works from specific places, of works on specific subjects, of works held in specific collections or offered for sale",017,General bibliographies and catalogs of works held in specific collections or offered for sale
56,"Computer science, information & general works",Library & information sciences,020,Library and information sciences,020,Library and information sciences
