,ddc,주류(한글),강목(한글),요목(한글),세목(한글)
0,000,"컴퓨터 과학, 정보 및 일반 작업",,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 정보, 일반 업무"
1,000,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템","컴퓨터 과학, 정보, 일반 업무","컴퓨터 과학, 정보, 일반 업무"
2,001,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",지식,지식
3,001.01,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",지식,지식의 이론
4,001.0601,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",지식,"지식--국제기구, . . ."
5,001.089,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",지식,지식-인종학
6,001.09,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",지식,"지식--역사, . . ."
7,001.1,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",지식,지적 생활
8,001.2,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",지식,장학금 및 학습
9,001.3,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",지식,인문학
10,001.4,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",지식,연구
11,001.9,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",지식,논란의 여지가 있는 지식
12,002,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",그 책,그 책
13,002[.0216],"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",그 책,"목록, 재고, 카탈로그"
14,002.0277,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",그 책,"도서--소유권 표시, . . ."
15,002.0288,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",그 책,도서--유지관리
16,002.029,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",그 책,상업 잡화
17,002.074,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",그 책,"박물관, 컬렉션, 전시회"
18,002.075,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",그 책,"책-수집, . . ."
19,002.083,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",그 책,아동도서
20,002.09,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",그 책,책--역사
21,003,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",시스템,시스템
22,003[.0285],"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",시스템,컴퓨터 응용 프로그램
23,003.092,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",시스템,시스템 분석가
24,003.1,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",시스템,시스템 식별
25,003.2,"컴퓨터 과학, 정보 및 일반 작업","컴퓨터 과학, 지식 및 시스템",시스템,예측 및 예측
